puzzle_number,type,hints
20001,row,"[[1], [2], [1, 1], [4], [1]]"
20001,col,"[[3, 1], [1, 1], [1], [1], [2]]"
20002,row,"[[1], [2], [1, 1], [4], [1]]"
20002,col,"[[3, 1], [1, 1], [1], [1], [2]]"
20003,row,"[[1], [2], [1, 1], [4], [1]]"
20003,col,"[[3, 1], [1, 1], [1], [1], [2]]"
20004,row,"[[1], [2], [1, 1], [4], [1]]"
20004,col,"[[3, 1], [1, 1], [1], [1], [2]]"
20005,row,"[[2], [2, 1], [1, 1, 1], [3], [2, 2]]"
20005,col,"[[3], [1, 2], [4], [1, 1], [2, 1]]"
20006,row,"[[2], [2, 1], [1, 1, 1], [3], [2, 2]]"
20006,col,"[[3], [1, 2], [4], [1, 1], [2, 1]]"
20007,row,"[[2], [2, 1], [1, 1, 1], [3], [2, 2]]"
20007,col,"[[3], [1, 2], [4], [1, 1], [2, 1]]"
20008,row,"[[2], [2, 1], [1, 1, 1], [3], [2, 2]]"
20008,col,"[[3], [1, 2], [4], [1, 1], [2, 1]]"
20009,row,"[[2], [2, 1], [1, 1, 1], [3], [2, 2]]"
20009,col,"[[3], [1, 2], [4], [1, 1], [2, 1]]"
20010,row,"[[2], [2, 1], [1, 1, 1], [3], [2, 2]]"
20010,col,"[[3], [1, 2], [4], [1, 1], [2, 1]]"
20011,row,"[[2, 1], [1, 1, 1], [1, 1], [4], [1]]"
20011,col,"[[1], [1, 1], [4], [2], [4]]"
20012,row,"[[2, 1], [1, 1, 1], [1, 1], [4], [1]]"
20012,col,"[[1], [1, 1], [4], [2], [4]]"
20013,row,"[[2, 1], [1, 1, 1], [1, 1], [4], [1]]"
20013,col,"[[1], [1, 1], [4], [2], [4]]"
20014,row,"[[2, 1], [1, 1, 1], [1, 1], [4], [1]]"
20014,col,"[[1], [1, 1], [4], [2], [4]]"
20015,row,"[[2, 1], [1, 1, 1], [1, 1], [4], [1]]"
20015,col,"[[1], [1, 1], [4], [2], [4]]"
20016,row,"[[2, 1], [1, 1, 1], [1, 1], [4], [1]]"
20016,col,"[[1], [1, 1], [4], [2], [4]]"
20017,row,"[[1], [1, 2], [3], [2, 1], [0]]"
20017,col,"[[1, 1], [1], [1, 1], [2], [3]]"
20018,row,"[[1], [1, 2], [3], [2, 1], [0]]"
20018,col,"[[1, 1], [1], [1, 1], [2], [3]]"
20019,row,"[[1], [1, 2], [3], [2, 1], [0]]"
20019,col,"[[1, 1], [1], [1, 1], [2], [3]]"
20020,row,"[[1], [1, 2], [3], [2, 1], [0]]"
20020,col,"[[1, 1], [1], [1, 1], [2], [3]]"
20021,row,"[[1], [1, 2], [3], [2, 1], [0]]"
20021,col,"[[1, 1], [1], [1, 1], [2], [3]]"
20022,row,"[[1], [1, 2], [3], [2, 1], [0]]"
20022,col,"[[1, 1], [1], [1, 1], [2], [3]]"
20023,row,"[[3], [1, 1, 1], [1], [4], [2, 2]]"
20023,col,"[[4], [2], [2, 1], [1, 2], [2, 1]]"
20024,row,"[[3], [1, 1, 1], [1], [4], [2, 2]]"
20024,col,"[[4], [2], [2, 1], [1, 2], [2, 1]]"
20025,row,"[[3], [1, 1, 1], [1], [4], [2, 2]]"
20025,col,"[[4], [2], [2, 1], [1, 2], [2, 1]]"
20026,row,"[[3], [1, 1, 1], [1], [4], [2, 2]]"
20026,col,"[[4], [2], [2, 1], [1, 2], [2, 1]]"
20027,row,"[[3], [1, 1, 1], [1], [4], [2, 2]]"
20027,col,"[[4], [2], [2, 1], [1, 2], [2, 1]]"
20028,row,"[[3], [1, 1, 1], [1], [4], [2, 2]]"
20028,col,"[[4], [2], [2, 1], [1, 2], [2, 1]]"
20029,row,"[[3], [1, 1], [2, 2], [4], [1]]"
20029,col,"[[2, 1], [1, 2], [2, 1], [1, 2], [2]]"
20030,row,"[[3], [1, 1], [2, 2], [4], [1]]"
20030,col,"[[2, 1], [1, 2], [2, 1], [1, 2], [2]]"
20031,row,"[[3], [1, 1], [2, 2], [4], [1]]"
20031,col,"[[2, 1], [1, 2], [2, 1], [1, 2], [2]]"
20032,row,"[[3], [1, 1], [2, 2], [4], [1]]"
20032,col,"[[2, 1], [1, 2], [2, 1], [1, 2], [2]]"
20033,row,"[[3], [1, 1], [2, 2], [4], [1]]"
20033,col,"[[2, 1], [1, 2], [2, 1], [1, 2], [2]]"
20034,row,"[[3], [1, 1], [2, 2], [4], [1]]"
20034,col,"[[2, 1], [1, 2], [2, 1], [1, 2], [2]]"
20035,row,"[[2, 2], [1, 2], [1, 1, 1], [3], [2, 1]]"
20035,col,"[[3], [1, 2], [3], [2, 1], [3, 1]]"
20036,row,"[[2, 2], [1, 2], [1, 1, 1], [3], [2, 1]]"
20036,col,"[[3], [1, 2], [3], [2, 1], [3, 1]]"
20037,row,"[[2, 2], [1, 2], [1, 1, 1], [3], [2, 1]]"
20037,col,"[[3], [1, 2], [3], [2, 1], [3, 1]]"
20038,row,"[[2, 2], [1, 2], [1, 1, 1], [3], [2, 1]]"
20038,col,"[[3], [1, 2], [3], [2, 1], [3, 1]]"
20039,row,"[[2, 2], [1, 2], [1, 1, 1], [3], [2, 1]]"
20039,col,"[[3], [1, 2], [3], [2, 1], [3, 1]]"
20040,row,"[[2, 2], [1, 2], [1, 1, 1], [3], [2, 1]]"
20040,col,"[[3], [1, 2], [3], [2, 1], [3, 1]]"
20041,row,"[[1, 2], [3, 1], [1, 1], [1, 1], [2]]"
20041,col,"[[4], [1, 1], [1, 1], [1, 1], [3]]"
20042,row,"[[1, 2], [3, 1], [1, 1], [1, 1], [2]]"
20042,col,"[[4], [1, 1], [1, 1], [1, 1], [3]]"
20043,row,"[[1, 2], [3, 1], [1, 1], [1, 1], [2]]"
20043,col,"[[4], [1, 1], [1, 1], [1, 1], [3]]"
20044,row,"[[1, 2], [3, 1], [1, 1], [1, 1], [2]]"
20044,col,"[[4], [1, 1], [1, 1], [1, 1], [3]]"
20045,row,"[[1, 2], [3, 1], [1, 1], [1, 1], [2]]"
20045,col,"[[4], [1, 1], [1, 1], [1, 1], [3]]"
20046,row,"[[1, 2], [3, 1], [1, 1], [1, 1], [2]]"
20046,col,"[[4], [1, 1], [1, 1], [1, 1], [3]]"
20047,row,"[[1], [1, 1, 1], [1, 2], [1, 3], [1]]"
20047,col,"[[3], [0], [1, 2], [2], [4]]"
20048,row,"[[1], [1, 1, 1], [1, 2], [1, 3], [1]]"
20048,col,"[[3], [0], [1, 2], [2], [4]]"
20049,row,"[[1], [1, 1, 1], [1, 2], [1, 3], [1]]"
20049,col,"[[3], [0], [1, 2], [2], [4]]"
20050,row,"[[1], [1, 1, 1], [1, 2], [1, 3], [1]]"
20050,col,"[[3], [0], [1, 2], [2], [4]]"
20051,row,"[[1], [1, 1, 1], [1, 2], [1, 3], [1]]"
20051,col,"[[3], [0], [1, 2], [2], [4]]"
20052,row,"[[1], [1, 1, 1], [1, 2], [1, 3], [1]]"
20052,col,"[[3], [0], [1, 2], [2], [4]]"
20053,row,"[[1, 2], [2], [4], [1], [5]]"
20053,col,"[[3, 1], [2, 1], [1, 3], [1, 1, 1], [1]]"
20054,row,"[[1, 2], [2], [4], [1], [5]]"
20054,col,"[[3, 1], [2, 1], [1, 3], [1, 1, 1], [1]]"
20055,row,"[[1, 2], [2], [4], [1], [5]]"
20055,col,"[[3, 1], [2, 1], [1, 3], [1, 1, 1], [1]]"
20056,row,"[[1, 2], [2], [4], [1], [5]]"
20056,col,"[[3, 1], [2, 1], [1, 3], [1, 1, 1], [1]]"
20057,row,"[[1, 2], [2], [4], [1], [5]]"
20057,col,"[[3, 1], [2, 1], [1, 3], [1, 1, 1], [1]]"
20058,row,"[[1, 2], [2], [4], [1], [5]]"
20058,col,"[[3, 1], [2, 1], [1, 3], [1, 1, 1], [1]]"
20059,row,"[[3, 1], [0], [1, 1], [1, 1], [4]]"
20059,col,"[[1, 3], [1, 1], [1, 1], [1], [1, 2]]"
20060,row,"[[3, 1], [0], [1, 1], [1, 1], [4]]"
20060,col,"[[1, 3], [1, 1], [1, 1], [1], [1, 2]]"
20061,row,"[[3, 1], [0], [1, 1], [1, 1], [4]]"
20061,col,"[[1, 3], [1, 1], [1, 1], [1], [1, 2]]"
20062,row,"[[3, 1], [0], [1, 1], [1, 1], [4]]"
20062,col,"[[1, 3], [1, 1], [1, 1], [1], [1, 2]]"
20063,row,"[[3, 1], [0], [1, 1], [1, 1], [4]]"
20063,col,"[[1, 3], [1, 1], [1, 1], [1], [1, 2]]"
20064,row,"[[3, 1], [0], [1, 1], [1, 1], [4]]"
20064,col,"[[1, 3], [1, 1], [1, 1], [1], [1, 2]]"
20065,row,"[[3], [1, 2], [2], [3, 1], [3]]"
20065,col,"[[1, 2], [3], [5], [2], [1, 1]]"
20066,row,"[[3], [1, 2], [2], [3, 1], [3]]"
20066,col,"[[1, 2], [3], [5], [2], [1, 1]]"
20067,row,"[[3], [1, 2], [2], [3, 1], [3]]"
20067,col,"[[1, 2], [3], [5], [2], [1, 1]]"
