puzzle_number,type,hints
10001,row,"[[3], [4], [3], [4], [1, 1]]"
10001,col,"[[1, 1], [1, 2], [4], [4], [1, 1, 1]]"
10002,row,"[[3], [4], [3], [4], [1, 1]]"
10002,col,"[[1, 1], [1, 2], [4], [4], [1, 1, 1]]"
10003,row,"[[5], [1, 3], [5], [1, 1], [4]]"
10003,col,"[[3], [1, 1, 1], [5], [3, 1], [5]]"
10004,row,"[[5], [1, 3], [5], [1, 1], [4]]"
10004,col,"[[3], [1, 1, 1], [5], [3, 1], [5]]"
10005,row,"[[5], [1, 3], [5], [1, 1], [4]]"
10005,col,"[[3], [1, 1, 1], [5], [3, 1], [5]]"
10006,row,"[[5], [1, 3], [5], [1, 1], [4]]"
10006,col,"[[3], [1, 1, 1], [5], [3, 1], [5]]"
10007,row,"[[5], [1, 3], [5], [1, 1], [4]]"
10007,col,"[[3], [1, 1, 1], [5], [3, 1], [5]]"
10008,row,"[[5], [1, 3], [5], [1, 1], [4]]"
10008,col,"[[3], [1, 1, 1], [5], [3, 1], [5]]"
10009,row,"[[3], [2, 1], [2, 1], [4], [1, 1]]"
10009,col,"[[1, 1], [5], [2, 1], [2], [1, 2]]"
10010,row,"[[3], [2, 1], [2, 1], [4], [1, 1]]"
10010,col,"[[1, 1], [5], [2, 1], [2], [1, 2]]"
10011,row,"[[3], [2, 1], [2, 1], [4], [1, 1]]"
10011,col,"[[1, 1], [5], [2, 1], [2], [1, 2]]"
10012,row,"[[3], [2, 1], [2, 1], [4], [1, 1]]"
10012,col,"[[1, 1], [5], [2, 1], [2], [1, 2]]"
10013,row,"[[3], [2, 1], [2, 1], [4], [1, 1]]"
10013,col,"[[1, 1], [5], [2, 1], [2], [1, 2]]"
10014,row,"[[3], [2, 1], [2, 1], [4], [1, 1]]"
10014,col,"[[1, 1], [5], [2, 1], [2], [1, 2]]"
10015,row,"[[1, 1], [3, 1], [3], [1, 3], [1, 1]]"
10015,col,"[[4], [2], [5], [1], [1, 2]]"
10016,row,"[[1, 1], [3, 1], [3], [1, 3], [1, 1]]"
10016,col,"[[4], [2], [5], [1], [1, 2]]"
10017,row,"[[1, 1], [3, 1], [3], [1, 3], [1, 1]]"
10017,col,"[[4], [2], [5], [1], [1, 2]]"
10018,row,"[[1, 1], [3, 1], [3], [1, 3], [1, 1]]"
10018,col,"[[4], [2], [5], [1], [1, 2]]"
10019,row,"[[1, 1], [3, 1], [3], [1, 3], [1, 1]]"
10019,col,"[[4], [2], [5], [1], [1, 2]]"
10020,row,"[[1, 1], [3, 1], [3], [1, 3], [1, 1]]"
10020,col,"[[4], [2], [5], [1], [1, 2]]"
10021,row,"[[4], [1, 1, 1], [1, 1, 1], [1], [3]]"
10021,col,"[[5], [1, 1], [3, 1], [1], [2]]"
10022,row,"[[4], [1, 1, 1], [1, 1, 1], [1], [3]]"
10022,col,"[[5], [1, 1], [3, 1], [1], [2]]"
10023,row,"[[4], [1, 1, 1], [1, 1, 1], [1], [3]]"
10023,col,"[[5], [1, 1], [3, 1], [1], [2]]"
10024,row,"[[4], [1, 1, 1], [1, 1, 1], [1], [3]]"
10024,col,"[[5], [1, 1], [3, 1], [1], [2]]"
10025,row,"[[4], [1, 1, 1], [1, 1, 1], [1], [3]]"
10025,col,"[[5], [1, 1], [3, 1], [1], [2]]"
10026,row,"[[4], [1, 1, 1], [1, 1, 1], [1], [3]]"
