puzzle_number,type,hints
5001,row,"[[3], [1], [1, 1, 1], [1, 1], [0]]"
5001,col,"[[2], [1], [3], [1, 1], [1]]"
5002,row,"[[3], [1], [1, 1, 1], [1, 1], [0]]"
5002,col,"[[2], [1], [3], [1, 1], [1]]"
5003,row,"[[3], [1], [1, 1, 1], [1, 1], [0]]"
5003,col,"[[2], [1], [3], [1, 1], [1]]"
5004,row,"[[3], [1], [1, 1, 1], [1, 1], [0]]"
5004,col,"[[2], [1], [3], [1, 1], [1]]"
5005,row,"[[5], [2, 2], [1], [4], [2]]"
5005,col,"[[2], [2, 1], [1, 2], [2, 2], [2, 2]]"
5006,row,"[[5], [2, 2], [1], [4], [2]]"
5006,col,"[[2], [2, 1], [1, 2], [2, 2], [2, 2]]"
5007,row,"[[5], [2, 2], [1], [4], [2]]"
5007,col,"[[2], [2, 1], [1, 2], [2, 2], [2, 2]]"
5008,row,"[[5], [2, 2], [1], [4], [2]]"
5008,col,"[[2], [2, 1], [1, 2], [2, 2], [2, 2]]"
5009,row,"[[5], [2, 2], [1], [4], [2]]"
5009,col,"[[2], [2, 1], [1, 2], [2, 2], [2, 2]]"
5010,row,"[[5], [2, 2], [1], [4], [2]]"
5010,col,"[[2], [2, 1], [1, 2], [2, 2], [2, 2]]"
5011,row,"[[2, 2], [1, 1], [1, 1], [2], [1, 1, 1]]"
5011,col,"[[1, 1, 1], [2], [1, 1], [1, 1], [2, 2]]"
5012,row,"[[2, 2], [1, 1], [1, 1], [2], [1, 1, 1]]"
5012,col,"[[1, 1, 1], [2], [1, 1], [1, 1], [2, 2]]"
5013,row,"[[2, 2], [1, 1], [1, 1], [2], [1, 1, 1]]"
5013,col,"[[1, 1, 1], [2], [1, 1], [1, 1], [2, 2]]"
5014,row,"[[2, 2], [1, 1], [1, 1], [2], [1, 1, 1]]"
5014,col,"[[1, 1, 1], [2], [1, 1], [1, 1], [2, 2]]"
5015,row,"[[2, 2], [1, 1], [1, 1], [2], [1, 1, 1]]"
5015,col,"[[1, 1, 1], [2], [1, 1], [1, 1], [2, 2]]"
5016,row,"[[2, 2], [1, 1], [1, 1], [2], [1, 1, 1]]"
5016,col,"[[1, 1, 1], [2], [1, 1], [1, 1], [2, 2]]"
5017,row,"[[1, 2], [1, 3], [2], [4], [1]]"
5017,col,"[[3], [1, 2], [1, 2], [2, 1], [2]]"
5018,row,"[[1, 2], [1, 3], [2], [4], [1]]"
5018,col,"[[3], [1, 2], [1, 2], [2, 1], [2]]"
5019,row,"[[1, 2], [1, 3], [2], [4], [1]]"
5019,col,"[[3], [1, 2], [1, 2], [2, 1], [2]]"
5020,row,"[[1, 2], [1, 3], [2], [4], [1]]"
5020,col,"[[3], [1, 2], [1, 2], [2, 1], [2]]"
5021,row,"[[1, 2], [1, 3], [2], [4], [1]]"
5021,col,"[[3], [1, 2], [1, 2], [2, 1], [2]]"
5022,row,"[[1, 2], [1, 3], [2], [4], [1]]"
5022,col,"[[3], [1, 2], [1, 2], [2, 1], [2]]"
5023,row,"[[3], [1, 2], [3], [2, 1], [2, 1]]"
5023,col,"[[4], [1, 3], [3, 1], [1], [2]]"
5024,row,"[[3], [1, 2], [3], [2, 1], [2, 1]]"
5024,col,"[[4], [1, 3], [3, 1], [1], [2]]"
5025,row,"[[3], [1, 2], [3], [2, 1], [2, 1]]"
5025,col,"[[4], [1, 3], [3, 1], [1], [2]]"
5026,row,"[[3], [1, 2], [3], [2, 1], [2, 1]]"
5026,col,"[[4], [1, 3], [3, 1], [1], [2]]"
5027,row,"[[3], [1, 2], [3], [2, 1], [2, 1]]"
5027,col,"[[4], [1, 3], [3, 1], [1], [2]]"
5028,row,"[[3], [1, 2], [3], [2, 1], [2, 1]]"
5028,col,"[[4], [1, 3], [3, 1], [1], [2]]"
5029,row,"[[1], [1, 1, 1], [1, 2], [2, 1], [2, 1]]"
5029,col,"[[3], [2], [1, 1], [1, 1], [4]]"
5030,row,"[[1], [1, 1, 1], [1, 2], [2, 1], [2, 1]]"
5030,col,"[[3], [2], [1, 1], [1, 1], [4]]"
5031,row,"[[1], [1, 1, 1], [1, 2], [2, 1], [2, 1]]"
5031,col,"[[3], [2], [1, 1], [1, 1], [4]]"
5032,row,"[[1], [1, 1, 1], [1, 2], [2, 1], [2, 1]]"
5032,col,"[[3], [2], [1, 1], [1, 1], [4]]"
5033,row,"[[1], [1, 1, 1], [1, 2], [2, 1], [2, 1]]"
5033,col,"[[3], [2], [1, 1], [1, 1], [4]]"
5034,row,"[[1], [1, 1, 1], [1, 2], [2, 1], [2, 1]]"
5034,col,"[[3], [2], [1, 1], [1, 1], [4]]"
5035,row,"[[2], [3], [4], [1, 1], [1, 1]]"
5035,col,"[[1, 1], [1], [3], [3, 1], [2, 1]]"
5036,row,"[[2], [3], [4], [1, 1], [1, 1]]"
5036,col,"[[1, 1], [1], [3], [3, 1], [2, 1]]"
5037,row,"[[2], [3], [4], [1, 1], [1, 1]]"
5037,col,"[[1, 1], [1], [3], [3, 1], [2, 1]]"
5038,row,"[[2], [3], [4], [1, 1], [1, 1]]"
5038,col,"[[1, 1], [1], [3], [3, 1], [2, 1]]"
5039,row,"[[2], [3], [4], [1, 1], [1, 1]]"
5039,col,"[[1, 1], [1], [3], [3, 1], [2, 1]]"
5040,row,"[[2], [3], [4], [1, 1], [1, 1]]"
5040,col,"[[1, 1], [1], [3], [3, 1], [2, 1]]"
5041,row,"[[1, 1, 1], [1], [2, 1], [1, 1], [0]]"
5041,col,"[[1, 1], [2], [1], [2], [2]]"
5042,row,"[[1, 1, 1], [1], [2, 1], [1, 1], [0]]"
5042,col,"[[1, 1], [2], [1], [2], [2]]"
5043,row,"[[1, 1, 1], [1], [2, 1], [1, 1], [0]]"
5043,col,"[[1, 1], [2], [1], [2], [2]]"
5044,row,"[[1, 1, 1], [1], [2, 1], [1, 1], [0]]"
5044,col,"[[1, 1], [2], [1], [2], [2]]"
5045,row,"[[1, 1, 1], [1], [2, 1], [1, 1], [0]]"
5045,col,"[[1, 1], [2], [1], [2], [2]]"
5046,row,"[[1, 1, 1], [1], [2, 1], [1, 1], [0]]"
5046,col,"[[1, 1], [2], [1], [2], [2]]"
5047,row,"[[1, 1], [1], [1, 2], [1, 1], [4]]"
5047,col,"[[1, 1], [2], [1], [1, 1], [5]]"
5048,row,"[[1, 1], [1], [1, 2], [1, 1], [4]]"
5048,col,"[[1, 1], [2], [1], [1, 1], [5]]"
5049,row,"[[1, 1], [1], [1, 2], [1, 1], [4]]"
5049,col,"[[1, 1], [2], [1], [1, 1], [5]]"
5050,row,"[[1, 1], [1], [1, 2], [1, 1], [4]]"
5050,col,"[[1, 1], [2], [1], [1, 1], [5]]"
5051,row,"[[1, 1], [1], [1, 2], [1, 1], [4]]"
5051,col,"[[1, 1], [2], [1], [1, 1], [5]]"
5052,row,"[[1, 1], [1], [1, 2], [1, 1], [4]]"
5052,col,"[[1, 1], [2], [1], [1, 1], [5]]"
5053,row,"[[2, 2], [1, 1, 1], [2, 1], [1, 2], [3, 1]]"
5053,col,"[[2, 1], [1, 3], [2, 1], [1, 1], [5]]"
5054,row,"[[2, 2], [1, 1, 1], [2, 1], [1, 2], [3, 1]]"
5054,col,"[[2, 1], [1, 3], [2, 1], [1, 1], [5]]"
5055,row,"[[2, 2], [1, 1, 1], [2, 1], [1, 2], [3, 1]]"
5055,col,"[[2, 1], [1, 3], [2, 1], [1, 1], [5]]"
5056,row,"[[2, 2], [1, 1, 1], [2, 1], [1, 2], [3, 1]]"
5056,col,"[[2, 1], [1, 3], [2, 1], [1, 1], [5]]"
5057,row,"[[2, 2], [1, 1, 1], [2, 1], [1, 2], [3, 1]]"
5057,col,"[[2, 1], [1, 3], [2, 1], [1, 1], [5]]"
5058,row,"[[2, 2], [1, 1, 1], [2, 1], [1, 2], [3, 1]]"
5058,col,"[[2, 1], [1, 3], [2, 1], [1, 1], [5]]"
5059,row,"[[2], [2], [2, 1], [1, 1, 1], [1]]"
5059,col,"[[3], [1], [2, 1], [2], [2]]"
5060,row,"[[2], [2], [2, 1], [1, 1, 1], [1]]"
5060,col,"[[3], [1], [2, 1], [2], [2]]"
5061,row,"[[2], [2], [2, 1], [1, 1, 1], [1]]"
5061,col,"[[3], [1], [2, 1], [2], [2]]"
5062,row,"[[2], [2], [2, 1], [1, 1, 1], [1]]"
5062,col,"[[3], [1], [2, 1], [2], [2]]"
5063,row,"[[2], [2], [2, 1], [1, 1, 1], [1]]"
5063,col,"[[3], [1], [2, 1], [2], [2]]"
5064,row,"[[2], [2], [2, 1], [1, 1, 1], [1]]"
5064,col,"[[3], [1], [2, 1], [2], [2]]"
5065,row,"[[3], [4], [2, 1], [1, 1], [1, 2]]"
5065,col,"[[2], [3, 1], [4], [1, 1], [3]]"
5066,row,"[[3], [4], [2, 1], [1, 1], [1, 2]]"
5066,col,"[[2], [3, 1], [4], [1, 1], [3]]"
5067,row,"[[3], [4], [2, 1], [1, 1], [1, 2]]"
5067,col,"[[2], [3, 1], [4], [1, 1], [3]]"
5068,row,"[[3], [4], [2, 1], [1, 1], [1, 2]]"
5068,col,"[[2], [3, 1], [4], [1, 1], [3]]"
5069,row,"[[3], [4], [2, 1], [1, 1], [1, 2]]"
5069,col,"[[2], [3, 1], [4], [1, 1], [3]]"
5070,row,"[[3], [4], [2, 1], [1, 1], [1, 2]]"
5070,col,"[[2], [3, 1], [4], [1, 1], [3]]"
5071,row,"[[2], [1], [3], [1, 1], [2, 1]]"
5071,col,"[[2, 1], [1, 1], [1, 2], [1, 1], [1]]"
5072,row,"[[2], [1], [3], [1, 1], [2, 1]]"
5072,col,"[[2, 1], [1, 1], [1, 2], [1, 1], [1]]"
5073,row,"[[2], [1], [3], [1, 1], [2, 1]]"
5073,col,"[[2, 1], [1, 1], [1, 2], [1, 1], [1]]"
5074,row,"[[2], [1], [3], [1, 1], [2, 1]]"
5074,col,"[[2, 1], [1, 1], [1, 2], [1, 1], [1]]"
5075,row,"[[2], [1], [3], [1, 1], [2, 1]]"
5075,col,"[[2, 1], [1, 1], [1, 2], [1, 1], [1]]"
5076,row,"[[2], [1], [3], [1, 1], [2, 1]]"
5076,col,"[[2, 1], [1, 1], [1, 2], [1, 1], [1]]"
5077,row,"[[3], [2, 1], [1, 1], [2, 1], [1, 1]]"
5077,col,"[[1, 2], [3], [1], [2, 2], [1, 1]]"
5078,row,"[[3], [2, 1], [1, 1], [2, 1], [1, 1]]"
5078,col,"[[1, 2], [3], [1], [2, 2], [1, 1]]"
5079,row,"[[3], [2, 1], [1, 1], [2, 1], [1, 1]]"
5079,col,"[[1, 2], [3], [1], [2, 2], [1, 1]]"
5080,row,"[[3], [2, 1], [1, 1], [2, 1], [1, 1]]"
5080,col,"[[1, 2], [3], [1], [2, 2], [1, 1]]"
5081,row,"[[3], [2, 1], [1, 1], [2, 1], [1, 1]]"
5081,col,"[[1, 2], [3], [1], [2, 2], [1, 1]]"
5082,row,"[[3], [2, 1], [1, 1], [2, 1], [1, 1]]"
5082,col,"[[1, 2], [3], [1], [2, 2], [1, 1]]"
5083,row,"[[1, 1], [3], [2], [1, 2], [3]]"
5083,col,"[[1], [2], [1, 2], [4], [1, 1, 1]]"
5084,row,"[[1, 1], [3], [2], [1, 2], [3]]"
5084,col,"[[1], [2], [1, 2], [4], [1, 1, 1]]"
5085,row,"[[1, 1], [3], [2], [1, 2], [3]]"
5085,col,"[[1], [2], [1, 2], [4], [1, 1, 1]]"
5086,row,"[[1, 1], [3], [2], [1, 2], [3]]"
5086,col,"[[1], [2], [1, 2], [4], [1, 1, 1]]"
5087,row,"[[1, 1], [3], [2], [1, 2], [3]]"
5087,col,"[[1], [2], [1, 2], [4], [1, 1, 1]]"
5088,row,"[[1, 1], [3], [2], [1, 2], [3]]"
5088,col,"[[1], [2], [1, 2], [4], [1, 1, 1]]"
5089,row,"[[1], [2, 1], [1, 1], [5], [1, 1]]"
5089,col,"[[1, 1], [4], [1], [1, 3], [1, 1]]"
5090,row,"[[1], [2, 1], [1, 1], [5], [1, 1]]"
5090,col,"[[1, 1], [4], [1], [1, 3], [1, 1]]"
5091,row,"[[1], [2, 1], [1, 1], [5], [1, 1]]"
5091,col,"[[1, 1], [4], [1], [1, 3], [1, 1]]"
5092,row,"[[1], [2, 1], [1, 1], [5], [1, 1]]"
5092,col,"[[1, 1], [4], [1], [1, 3], [1, 1]]"
5093,row,"[[1], [2, 1], [1, 1], [5], [1, 1]]"
5093,col,"[[1, 1], [4], [1], [1, 3], [1, 1]]"
5094,row,"[[1], [2, 1], [1, 1], [5], [1, 1]]"
5094,col,"[[1, 1], [4], [1], [1, 3], [1, 1]]"
5095,row,"[[1, 2], [1, 1, 1], [1], [2, 1], [3]]"
5095,col,"[[2], [1], [2, 2], [1, 1], [4]]"
5096,row,"[[1, 2], [1, 1, 1], [1], [2, 1], [3]]"
5096,col,"[[2], [1], [2, 2], [1, 1], [4]]"
5097,row,"[[1, 2], [1, 1, 1], [1], [2, 1], [3]]"
5097,col,"[[2], [1], [2, 2], [1, 1], [4]]"
5098,row,"[[1, 2], [1, 1, 1], [1], [2, 1], [3]]"
5098,col,"[[2], [1], [2, 2], [1, 1], [4]]"
5099,row,"[[1, 2], [1, 1, 1], [1], [2, 1], [3]]"
5099,col,"[[2], [1], [2, 2], [1, 1], [4]]"
5100,row,"[[1, 2], [1, 1, 1], [1], [2, 1], [3]]"
5100,col,"[[2], [1], [2, 2], [1, 1], [4]]"
5101,row,"[[5], [1, 1], [2], [1, 1], [3]]"
5101,col,"[[1, 1], [3, 1], [1, 1, 1], [2, 2], [1]]"
5102,row,"[[5], [1, 1], [2], [1, 1], [3]]"
5102,col,"[[1, 1], [3, 1], [1, 1, 1], [2, 2], [1]]"
5103,row,"[[5], [1, 1], [2], [1, 1], [3]]"
5103,col,"[[1, 1], [3, 1], [1, 1, 1], [2, 2], [1]]"
5104,row,"[[5], [1, 1], [2], [1, 1], [3]]"
5104,col,"[[1, 1], [3, 1], [1, 1, 1], [2, 2], [1]]"
5105,row,"[[5], [1, 1], [2], [1, 1], [3]]"
5105,col,"[[1, 1], [3, 1], [1, 1, 1], [2, 2], [1]]"
5106,row,"[[5], [1, 1], [2], [1, 1], [3]]"
5106,col,"[[1, 1], [3, 1], [1, 1, 1], [2, 2], [1]]"
5107,row,"[[2], [1, 1], [1, 2], [2, 1], [3]]"
5107,col,"[[3, 1], [1, 2], [3], [2], [1]]"
5108,row,"[[2], [1, 1], [1, 2], [2, 1], [3]]"
5108,col,"[[3, 1], [1, 2], [3], [2], [1]]"
5109,row,"[[2], [1, 1], [1, 2], [2, 1], [3]]"
5109,col,"[[3, 1], [1, 2], [3], [2], [1]]"
5110,row,"[[2], [1, 1], [1, 2], [2, 1], [3]]"
5110,col,"[[3, 1], [1, 2], [3], [2], [1]]"
5111,row,"[[2], [1, 1], [1, 2], [2, 1], [3]]"
5111,col,"[[3, 1], [1, 2], [3], [2], [1]]"
5112,row,"[[2], [1, 1], [1, 2], [2, 1], [3]]"
5112,col,"[[3, 1], [1, 2], [3], [2], [1]]"
5113,row,"[[5], [1], [1, 1], [4], [2]]"
5113,col,"[[1, 1], [1, 1], [1, 2], [1, 2], [3, 1]]"
5114,row,"[[5], [1], [1, 1], [4], [2]]"
5114,col,"[[1, 1], [1, 1], [1, 2], [1, 2], [3, 1]]"
5115,row,"[[5], [1], [1, 1], [4], [2]]"
5115,col,"[[1, 1], [1, 1], [1, 2], [1, 2], [3, 1]]"
5116,row,"[[5], [1], [1, 1], [4], [2]]"
5116,col,"[[1, 1], [1, 1], [1, 2], [1, 2], [3, 1]]"
5117,row,"[[5], [1], [1, 1], [4], [2]]"
